identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000706,"Mountain View post card, 1912",1912-01-01,Unknown,"""Dear Georgie (Mrs. Lester Swall), We arrived at Colfax Sat. Aug 31. Mr. Dunshee is feeling stronger. We live in the funniest little house their are 83 of them and a patient in every one. They are in rows all the way to the sides of the mountains among a forest of pine and other trees. Last night it rained all night long. Mrs. E. Dunslee."" Mountain View, California.",PHA S01,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000707,"Mountain View scenes, 1913",1913-01-01,Unknown,"View of the southwest part of Mountain View. This picture was taken from the top of the old city water tank, 100 block Franklin Street. Mountain View, California.",PHA S01,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000708,Crowning of the Queen,1915-01-01,Unknown,"Crowning of the queen, old Mountain View School, State highway. Mountain View, California.",PHA S2 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000709,School Children Dancing,1910-01-01,Unknown,"School children dancing. Primary school - southwest corner of Castro and California. St. Mountain View, California.",PHA S2 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000710,Primary School,1910-01-01,Unknown,"Primary School. Mountain View, California.",PHA S2 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000711,Young Boys in Fishing Gear,1910-01-01,Unknown,"Young boys in fishing gear, Dana Street School. Mountain View, California.",PHA S2 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000712,Six Children in Costume,1910-01-01,"Photo Shop, Mountain View","Six children in costume. Mountain View, California.",PHA S2 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000713,Original high school,1915-01-01,Unknown,"Original high school. Later used as a grade school when new high school was built on Castro St. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000714,Dana Street School,1918-01-01,Unknown,"Dana Street School, 1150 Dana Street. Built 1917, torn down January 1960. Mountain View, California.",PHA S03,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000715,"Dana Street School, frontal view",1930-01-01,Unknown,"Dana Street School. Mountain View, California.",PHA S3 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000716,"Dana St. School, 1920",1920-01-01,"Guerrero, Frank","Dana Street School. The first unit of the school was built in 1916. Miss Victorine Klein was the Vice Principal. The second unit was built in 1920. The building was condemned in 1955 and abandoned in June 1959. Mountain View, California.",PHA S03,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000718,Highway School Underpass,1950-02-01,Palo Alto Times,"Cutting ribbon at highway underpass at Calderon Avenue and El Calmino Real near Grammar School. L to R first row: Dr. Earl C. Campbell (Santa Clara County Supervisor), Mrs. Anita Sanborn, Mrs. Elsie Eaton, Mayor Frank Morton, and student Marilyn Pihl. Second row: unknown, William Henderson, John W. Parmalee, Mark Tuban, Ford dealer, TV Pedersen, and CP Cooley. Mountain View, California.",PHA S5 8,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000719,Whisman School,1915-01-01,Unknown,"Whisman School, built 1912, burned 1928. Mountain View, California.",PHA S8 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000720,"Whisman School, 1891",1891-01-01,Unknown,"Josephine Bryant. Whisman School. Mountain View, California.",PHA S8 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000721,"Mountain View Grammar School, 1886 Miss Page",1886-01-01,Unknown,"Miss Nellie Page, Grammar School. Taught 1886-1888. Mountain View, California.",PHA S9 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000722,"Mountain View Grammar School, 1st and 2nd grades, 1888",1888-01-01,Unknown,"Mountain View Grammar School. First and second grades, 1888 and 1889. Mountain View, California.",PHA S9 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000723,"Mountain View Grammar School, 1889",1889-09-01,"White, C.C.","Mountain View Grammar School. Class picture, September 1889. Name of Mabel Gates Stricklett appears on back. First row: 5th from left (3rd girl): Gertrude Bubb. Second row, from top (standing): Charles Cooper and William Bubb. Mountain View, California.",PHA S9 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000724,"Mountain View Grammar School, 1889",1889-01-01,Unknown,"The tall men in the back row are pupils. Mountain View Grammar School 1889-1890. Mountain View, California.",PHA S10 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000725,"Mountain View Grammar School, 1893, Mr. Brownell",1893-01-01,Shilling and Leo,"Mountain View Grammar School, 1893. Principal Elmer E. Brownell, center. Raymond Bubb fourth in standing row. Mountain View, California.",PHA S10 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000726,"Mountain View Grammar School, 1893",1893-01-01,Shilling and Leo,"Mountain View Grammar School, 1893. Principal Elmer E. Brownell, right. Mountain View, California.",PHA S10 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000727,"Mountain View Grammar School, 8th grade, 1896",1896-01-01,Unknown,"Mountain View Grammar School, 8th grade class, 1896. Teacher: E.E. Brownwell. Top row: Louis Green, Frank Frances, Warren Bates, Shelby Kifer, EE. Brownell (teacher), John Frances, Chris Mesa, Bill Castro. Second row: Richard Jagels, Dora Burns, Mamie Corpstein, Alice Forsythe, Belinda Wright, Martin Whalen, Roy Bueley. Third row: Bill Wagner, Mollie O'Connor, Evan Whiting. Fourth row: John Carter, Josie Robles, Cora Fackrell, Edna White, Annie Wagner, Ernest Bubb. Mountain View, California.",PHA S10 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000728,"Mountain View Grammar School, 2nd grade, 1897",1897-01-01,Unknown,"Grammar school, 2st grade 1897. Miss Halsey, teacher, later Mrs. George Taylor. Mountain View, California.",PHA S10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000729,"Mountain View Grammar School, 1892",1892-02-01,W.C. Pierce & Co. Photographers,"Mountain View Grammar School. Mountain View, California.",PHA S10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000730,"Mountain View Grammar School, 1889, kids",1889-01-01,"White, C.C.","Mountain View Grammar School. Mountain View, California.",PHA S10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
