identifier,title,date,creator,description,call_number,rights,holder,files
cmv_000001,"Baseball Team, Mountain View",1906-01-01,Unknown,"Standing left to right: John Parreira, Emmet Graham, Emil Darriman, Mgr;Roche #1 Rooter, Frank Farry, Toney Vargas, Joseph carreira, Frank Foley;Seated left to right: Joseph Rose, Jack Lyons, Shorig Perreira. Mountain View, California.",PHA A1 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000002,Baseball Game,1906-08-19,Unknown,"Fans seated at baseball game. Mountain View, California.",PHA A1 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000004,"Adobe Building, 1935 painting",1935-01-01,Robert Weaver Photography,"Picture of an oil painting by R. Ormand Newfarmer in 1935. Mountain View, California.",PHA B1 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000005,"Adobe Building, Community Center Building",,Robert Weaver Photography,"Picture of a picture of the Adobe Building. Mountain View, California.",PHA B1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000006,"Adobe Building, Mountain View",1974-01-01,"Wilson, Ruth","Photo taken Oct. 10, 1974;Ruth Wilson/Palo Alto Times. Mountain View, California.",PHA B1 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000007,"Adobe Building, late 60s early 70s",1966-01-01,Unknown,"Adobe Building Late 60s early 70s. Mountain View, California.",PHA B1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000008,Laying Cornerstone of Town Hall,1909-01-01,Unknown,"Nov. 30, 1909. PostCard sent 1/11/1911 from San Francisco;Donated by Mrs. Nell Berryessa (nee Garliepp) 1970;Parade on Castro Street. Mountain View, California.",PHA B2 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000009,Laying Cornerstone of Town Hall,1909-01-01,Unknown,"Nov. 30, 1909. Paden Home in foreground on the right, now the location of the California. Apartments, corner of Hope Street and California. Avenue. Home of Richard McDonald, 696 California. Street (next to windmill);PostCard sent 6/12/1913 to J.J. Dale;Text on back: Jimmy pleas (sic) call at the store when you can. We want to see you. Milner and Sam. Mountain View, California.",PHA B2 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000010,"City Hall, Mountain View, California; Located on the southeast corner of California and Castro Streets, facing Castro Street.",,Unknown,"401 Castro Street, built 1909. Used as City Hall to 1959, building demolished 1962;Donated 7/28/1976. Mountain View, California.",PHA B2 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000011,Dancer Ibis Statue in Civic Center,1992-01-01,Mountain View Voice,"Named ""Ibis"" located in lobby of City Hall. November, 1992. Mountain View, California.",PHA B02,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000012,Capsule Opening,1962-01-19,Melgar Commercial Photographers,"Eleanor Dale, then president of the Mountain View Pioneer and historical Association, opened the California.psule which had been laid in the cornerstone ceremonies held on November 30, 1909, for the then new city hall. January 16, 1962",PHA B2 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000013,"Capsule Opening, historical association",1962-01-01,Melgar Commercial Photographers,"Celebrating the opening of the 1909 time capsule old city hall. Mountain View, California., January 19, 1962. Foreground: Mrs. Eleanor Dale;In row (left to right): Jesse Nelson, City Councilman, Mayor Mort Moore, Chief of Police Arthur Neilsen;January 19, 1962",PHA B2 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000014,"Mtn. View City Hall, 401 Castro Street",,Unknown,"Mtn. View City Hall, 401 Castro Street. Mountain View, California.",PHA B02,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000015,"Southern Pacific Railroad Section House, Evelyn Avenue (near Stevens Creek Crossing), Mountain View, California",,Unknown,"Southern Pacific Railroad Section House, Evelyn Avenue (near Stevens Creek Crossing). Mountain View, California.",PHA B3 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000016,"Mountain View, Calif - Southern Pacific Depot",,Unknown,"Built in 1888 for $5000. In 1890, Station Agent was Mr. Gordon (trains to Almaden) and F.J. Nichols took his place. Mountain View, California.",PHA B3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000017,"Southern Pacific Railroad Station, Mountain View, 1950s",,Unknown,"A two-story structure built in 1888. The second story provided living quarters for the agent;the waiting room for passengers was below;and to the left (attached) was where the freight was handled. Mountain View, California.",PHA B3 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000018,"Southern Pacific Railroad Depot, Mountain View, California",,"Mitchell, Edward H.","Donated by Mrs. Ethel Emerson. Mountain View, California.",PHA B3 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000019,"Southern Pacific Railroad Depot, Mountain View, California",,Unknown,"Shown are filled wine barrels from the John Snyder ranch awaiting shipment at the depot. Mountain View, California.",PHA B3 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000020,"Railroad Depot (1880), Mountain View, CA",1976-01-01,"Tupper, Gene","Photograph of a painting done by Anna Fritz, photo for Palo Alto Times. Mountain View, California.",PHA B3 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000021,Mountain View Railroad Station,,Unknown,"Photo taken by Mr. Ahlkvist of the Mtn. View train station, built 1888. Razed 1960. Schermerhorn Collection, donated by Lennart Ahlkvist in 1997. Mountain View, California.",PHA B3 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000022,Church Street at Franklin,,Unknown,"American Legion (Masonic) Building. McGilvrey Collection. Mountain View, California.",PHA B4 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000023,Church Street at Franklin,,Unknown,"American Legion (Masonic) Building. McGilvrey Collection. Mountain View, California.",PHA B4 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000024,American Legion Memorial Building,,Unknown,"Northeast corner Church and Franklin streets. Built 1932. Now Masonic Lodge Building. Mountain View, California.",PHA B4 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000025,"The American Hotel, Mountain View's first downtown hotel, corner of Castro Street and Front Street.",1907-01-01,Unknown,"Also known as Weilheimer Hotel. Air and Bros proprietors. Mountain View, California.",PHA B04,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000026,The Ames Building,1976-01-01,Unknown,"First block on Castro Street. Built in 1902 for Professor Daniel T. Ames, famous handwriting expert. Mountain View, California.",PHA B4 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000027,Ames Building earthquake damage,1906-01-01,Unknown,"1906 Earthquake Ames Building on Castro Street. Donated 1988 by Virgil Cooper, originally part of Georgia Rogers Swall Collection. Mountain View, California.",PHA B4 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000028,Ames building,,Unknown,"First block on Castro Street. Street level: Mountain View Hardware Company. Club Restaurant, Leo Miller (proprietor), in doorway. This was the only first-class restaurant in Mountain View in 1907. To the left of hardware store is shown A.L. Boynton, Electrical Supplies.",PHA B4 8,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000029,"The Ames Building, 1905",1905-01-01,Unknown,"Before 1906 earthquake. Right: Cyclers Club and Store, Milner and Son;Left: Parkinson Lumber and Hardware. Mountain View, California.",PHA B4 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000030,1906 Earthquake Ames Building on Castro,1906-01-01,Unknown,"1906 Earthquake Ames Building on Castro Street. Donated 1988 by Virgil Cooper, originally part of Georgia Rogers Swall Collection. Mountain View, California.",PHA B4 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000031,IOOF Building,1974-01-01,Unknown,"Castro and Villa Streets. Formerly the 1st National Bank Building built in 1913. located at 201 Castro St. on the SW corner of Villa and Castro Streets. The First National Bank occupied the building until 1947. In 1974 it was used by the Christian Science Reading Room and the I.O.O.F. Lodge met upstairs.Mountain View, California.",PHA B5 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000032,Emporium Dedication,1970-01-01,Unknown,"Happy faces at the Emporium store dedication last week were, from left, Ardern Batchelder, president of the Emporium-Capwell Co.;Mrs. James J. Dale, upon whose family home site the store was built, and the Mountain View Mayor William Herfurth. Seated behind is Vern Gillmore and standing is William Voorhees, store manager (Staff Photo);10-29-1970",PHA B5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000033,El Camino Hospital Sculpture,1991-01-01,"Falk, Randolph | Mountain View Voice",Hand sculpture outside El Calmino Hospital. Mountain View Voice,PHA B05,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000034,Snow in mountains,,Mountain View Voice,"Enhanced snow (but not fake looking). Mountain View Voice photo. Mountain View, California.",PHA B05,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000035,"Del Monte Building, 759 Villa, Mountain View, CA",,Mountain View Voice,"Mountain View Voice photo, California.",PHA B05,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000036,"Jurian Building, 1974",1974-01-01,Unknown,"Jurian Building built California. 1913 northwest corner of Villa and Castro St. From Mountain View Register Leader 6-2-33, p. 4: ""20 years ago New Odell and Jurian building on the NW corner of Castro and Villa streets was completed by E.J. Johnson, druggist, and Odell & Jurian, gen. merchants were moving into it."" Donor: Mrs. Jeanne Holtzclaw 1-6-1975. Mountain View, California.",PHA B5 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000037,"I.E.D. Building, Mountain Bay Plaza",1974-01-01,Unknown,Panoramic view of Mountain View with IED Mountain Bay Plaza building in background. located at the corner of Mercy and Castro Streets. Donor: Mrs. Jeanne Holtzclaw 1-6-75,PHA B5 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000038,"Jurian Building, 2001",2001-01-01,Mountain View Voice,"Jurian Building, Castro St. Mountain View Voice Photo. Mountain View, California.",PHA B05,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000039,"IED Building, Mountain View California",1970-12-01,"Tupper, Gene","Photo taken 12-1-1970. Palo Alto Times. Mountain View, California.",PHA B5 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000040,Olympic Hall (pre-1906),1905-01-01,Unknown,"Olympic Hall, corner of Front and Castro streets. East side. Mountain View, California. Picture predates the earthquake of 1906.",PHA B6 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000041,Neuroth Building,,Unknown,"Corner Castro Street and Evelyn Street. Mountain View, California.",PHA B6 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000042,Neuroth Building/Olympic Hall,1905-01-01,Unknown,"Corner Castro Street and Evelyn Street. Olympic Hall 2nd Floor. This was a popular place where shows and dances were held. Being entirely built of brick, the top story slid into the street the morning of the 1906 earthquake and it was never rebuilt. This pic is on pg. 1 of the Leader 4-5-1905. Mountain View, California.",PHA B6 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000043,Olympic Hall,,Unknown,"Olympic Hall, Castro St. Mountain View, California.",PHA B6 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000044,Olympic Hall post 1906 earthquake,1906-01-01,Unknown,"Olympic Hall post 1906 earthquake. Donated in 1998 by Virgil Cooper, originally part of Georgia Rogers Swall Collection. Mountain View, California.",PHA B6 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000045,PG and E Office,1964-01-01,Melgar Commercial Photographers,"PG & E Office, 490 Bryant Street (corner of Bryan and Mercy). Mountain View, California., New Mountain View office, February 1964. Donors: Mrs. and Mrs. Merrill Hugo, 1970, California.",PHA B7 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000046,Mountain View Fire Department and Police Dept Site,1951-01-01,Unknown,"See Daily Register 10-4-1951 pg. 1 picture and California.ption. From left to right: Councilman John Parmelee, Frank Morton, and Paul Fretz. City Clerk Irma Lewis, Mayor Martin Spangler, City Administrator Jim Thomas, Fireman Jim Graham (behind the wheel), William Paullus fireman, Ed Demizze, Clarence Lawson, city Engineer Lloyd Baker and city building inspector Milt Christiansen. Villa and Franklin streets exCalifornia.vation for new police and fire station buildings;Donated by Martin J. Spangler, Jr. 1995. Mountain View, California.",PHA B7 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000047,"Woman's Club, Castro Street, Mountain View",,Unknown,"Mountain View Woman's Club, 440 Castro St. Mountain View, California. This building was originally the Methodist Episcopal Church, South, near the corner of California. Avenue and Castro Street. It was turned around by the Woman's Club. Its site on Castro Street was Santa Barbara Savings (1980) and Home Federal Savings and Loan (1984).",PHA B7 7,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000048,Police Department,1978-01-01,Mike Roberts Color Productions,"From back of Card: The new Police Services and Fire Administration Building encompasses 43,000 square feet. The unique energy conservation features of the building are highly efficient and earned the 1978 Owens-Corning Fiberglass Corporation Energy Conservation Award for the City of Mountain View.",PHA B7 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000049,Prune and Apricot Exposition,1924-01-01,Unknown,"Entrance to Prune and Apricot Exposition Grounds. Exposition building, on the left;later the Redwine Garage and Pearson Garage. Picture dated November 6 and 7, 1924. Site is present one where the high-rise building (Mountain Bay Plaza Building) is being erected on Castro Street (1970). Persons shown in picture: Mrs. Mary Horton, unknown, Mrs. Rose, Mrs. Sinz, (Ticket Office), unknown, Mrs. Eleanor Dale, Father Galvin. Built in 1923. Donor: Fred Sinz, 11-13-70. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000050,Ferry Morse Seed Company,,Unknown,"111 Ferry-Morse Way. Mountain View, California.",PHA B8 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000051,Ferry Morse Seed Company (color),,"Mahan, Max","Mountain View, California. The western offices and processing center for this world famous plant was selected with great care and reflects the mild climate and excellent transportation facilities afforded by Mountain View. Donated 1996 by Bob Weaver.",PHA B8 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000052,The Sanguini Cannery,,C.C. Photographer,"Sanguini cannery. Mountain View, California. location: south of the railroad track, and on the east side of Bailey Avenue. This was later the Richmond-Chase Cannery.",PHA B9 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000053,Mountain View Fruit Exchange,1905-01-01,Unknown,"This was a 3 story brick building on the end of Oak St. It was filled with dry prunes and apricots, when it burnt down to the ground June 3, 1924. Started at 2:10am, never rebuilt as per Anna Len. Mountain View, California.",PHA B9 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000054,"Mountain View Fruit Exchange, 1906",1906-09-19,Metzgar Commercial Photography,"9-19-1906. Behind at left is the old pickle factory (as identified at a Mountain View Pioneer Historical Association meeting). Mountain View, California.",PHA B9 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000055,Mountain View Packing Shed,1931-01-01,Unknown,"This is an interior photo of a packing shed in Mountain View. Igt is 1931 and over 80 railroad cars of apricots were packed that year. Donated by: Ernie Rodrigo, 1975",PHA B09,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000056,Harding Meat Market,1974-01-01,Unknown,"Building was built in 1905 as the Farmers and Merchants State Bank. As of 1983, the building was no longer occupied by the Harding Meat Market. Donor: Mrs. Jeanne Holtzclaw, 1975. Mountain View, California.",PHA B10 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000057,Farmers and Merchants Bank,1905-01-01,Unknown,"Castro Street, shortly after its construction in 1905. From the county's Historical Resource Inventory and courtesy of Mountain View Pioneer and Historical Association.",PHA B10,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000058,"Farmers and Merchants Bank, 1906",1906-01-01,Unknown,"Circa 1906, after the April earthquake. Donated 1998 by Virgil Cooper (originally part of Georgia Rogers Swall collection). Mountain View, California.",PHA B10 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000059,Farmers and Merchants Bank interior,1915-01-01,Unknown,"Left to right: Weilheimer, Mockbee, W. canip. Bank interior. Schernerborn pic. Mountain View, California.",PHA B10 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000060,Bank of Mountain View,,Unknown,"Bank of Mountain View, west side of Castro Street, first block. This was the first bank in Mountain View.",PHA B11 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000061,Mountain View Transfer Company,1905-01-01,Unknown,"Feed stable, coal and wood. located on second block from railroad track. A.H. Reed. Mountain View, California.",PHA B13 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000062,The Whelan Blacksmith Shop,1909-01-01,Unknown,"The Whelan Blacksmith Shop, El Calmino Real, Old Town. located on the north side of El Calmino Real, opposite Grant Road's intersection with El Calmino. Mountain View Register Leader, 4-16-1909. Mountain View, California.",PHA B12,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000063,Whelan Blacksmith Shop,1909-01-01,Unknown,"Old Mountain View, directly at intersection of Grant Road and highway. Mountain View, California.",PHA B12 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000064,Blacksmith Shop and Ice and Fuel Company,1900-01-01,Unknown,"Blacksmith shop and part of the fuel house of McDonald & Burke and Mountain View Ice and Fuel Company, California.",PHA B12 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000065,McDonald & Burke Blacksmith interior,1906-01-01,Unknown,"McDonald & Burke Blacksmith. Mountain View, California. Left to right: Dan Burke and Louis Conti. , California.",PHA B12,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000066,Burdett's Blacksmith Shop,1900-01-01,Unknown,"Hope and Villa St.;Matt Burdett is working at left;employee George Cooper is center and young Miles Cooper is seated on right. Donated 1998 by Virgil Cooper. Mountain View, California.",PHA B12 9,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000067,"McDonald & Burke Blacksmith, 1906",1906-01-01,Unknown,"McDonald and Burke Blacksmith Shop. Mountain View, California. Left to right: Dan Burke, Fred Weber, Dick McDonald, and Lewis Conti. , California.",PHA B12,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000068,"McDonald & Burke Blacksmith, exterior",1906-01-01,Unknown,"Built by J.S. Mockbee. Mountain View Register 2-16-1906. This building built in Oct-Nov 1895 after fire 10-9-1895. Mountain View, California.",PHA B12,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000069,"Pioneer Blacksmith Shop - McDonald & Burke, Castro St",1906-01-01,Unknown,"Built by J.S. Mockbee. This building built in Oct-Nov 1895 after fire 10-9-1895. Mountain View, California.",PHA B12 5,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000070,H. Trulsen building & Dudfield Lumber,,Unknown,"H. Trulsen Building on Evelyn Ave. formerly Front St. Mr. Trulsen standing in front. Upstairs, Masonic Meeting Hall. Mountain View, California.",PHA B13 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000071,Livery Stable,,Unknown,"Livery stable on Hope St. near Front St.;Mountain View, California.",PHA 13,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000072,"Carriage Painting, J.C. Brophy",,Unknown,"J.C. Brophy carriage painter, McDonald and Burke Blacksmith Shop. Dan Burke in front of shop. Mountain View, California.",PHA B13 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000073,D.M. Farr,1910-01-01,Unknown,"D.M. Farr Dealer in buggies. Corner of Hope and Villa St. 1900-1910. Mountain View, California.",PHA B13,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000074,"Livery and Feed Stable, 1893",1893-01-01,Unknown,"Weilheimer, Aug. 1893. stable and family home. Mountain View, California.",PHA B14,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000075,Livery and Feed Stable,1893-01-01,St. Louis Art Studios,"Weilheimer Stables, near Castro St crossing. Precedes 1893 as another picture of same barn dated 1893-08 has an addition on the left. Mountain View, California.",PHA B14 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000076,S. Weilheimer's Livery and Feed Stable,1910-01-01,Unknown,"S. Weilheimer's Livery and Feed Stable. Donor: Jean Chernick 1976. Mountain View, California.",PHA B14 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000077,Charles A. Fischer Tailor Shop,,Unknown,"Castro St.;Mr. Fischer is standing at the entrance. Mountain View, California.",PHA B15 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000078,M.M. Klegkner Shoe Store,,Unknown,"238 Castro St. Mr. Kleckner is standing in entrance. Mountain View, California.",PHA B15 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000079,Milner and Son Clothing Co.,1905-01-01,Unknown,"Mr. Ames standing at left. I. Milner at right. Part of Ames Building, Castro St. Pre-1906 earthquake. Mountain View, California.",PHA B15 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000080,Mountain View Bakery and Coffee Parlor,,Unknown,"170 Castro St.;Mr. Campen, proprietor. Mountain View, California.",PHA B16 1,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000081,Lovejoy's Candy Store,1909-01-01,Unknown,"Fred Lovejoy candy store, 1st block from railroad track on Castro St. Fred and Genevieve, his wife. Mountain View, California.",PHA B16 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000082,Moore Furniture Store,1925-01-01,Unknown,"Moore furniture store and Dr. C.O. Gates' Home (on left), third block of Castro Street (east side). Mountain View. Soares Building...Moore Furniture moved into this building about 1925.",PHA B17 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000083,Interior of Moore's Furniture store,1925-01-01,Unknown,"Moore furniture store and Dr. C.O. Gates' Home (on left), third block of Castro Street (east side). Mountain View. Soares Building...Moore Furniture moved into this building about 1925.",PHA B17,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000084,McCorkle's Furniture and Undertaking Parlor,1903-01-01,Unknown,"1st undertaking parlor. Mrs. McCorkle standing in front. Mountain View, California.",PHA B17 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000085,The Carpet Mart,1983-01-01,Peninsula Times Tribune,"2486 El Camino. Mountain View, California. Telephone directory shows this business at this address by 1966",PHA B17,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000086,Mountain View Garage,,Unknown,"Mountain View Garage, Redwine Family, Ford Agency. Built in 1919 at 256 Castro St. Redwine family bought Mtn View Garage at 231 Castro St, then in 1919 built a new garage at 256 Castro St. Redwine built more than one fire truck for Mtn View Fire Dept.",PHA B18 6,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000087,"Mountain View Garage, interior",,Tait Photo,"Mountain View Garage, California.",PHA B18,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000088,Junction Garage,1917-01-01,Unknown,"Dated before 2-23-1917, located by Junction House on El Calmino near El Monte Rd. Donated by Dennis Toth 1998. Mountain View, California.",PHA B18 1,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000089,"Kankel and Woods Service Station, 1955",1955-01-01,Unknown,"Kankel and Woods Service Station, northwest corner of California. and Castro St. This property was owned by Fritz Campen. Donated by Mrs. Jack (Virginia) Salyer 1980. Mountain View, California.",PHA B18 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000090,Kankel and Woods Service Station,1955-01-01,Unknown,"Kankel and Woods Service Station, northwest corner of California. and Castro St. This property was owned by Fritz Campen. Left to right: Robert Kankel, Fritz Campen, and Fred Sinz. October 1955. Donated by Mrs. Jack (Virginia) Salyer 1980. Mountain View, California.",PHA B18 5,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000091,Mountain View Machine Shop and Mountain View Cyclery Shop,1907-01-01,Unknown,"Leach and Engle's Garage & Bicycle Shop. located in 300 block near or at NE corner of Castro and California. streets. See: story and pictures in the Mountain View Leader 6-28-1907 p. 13. O.W. Leach and A.A. Engle. Mountain View, California.",PHA B18 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000092,"Mountain View Garage, 1913",1913-01-01,Unknown,"Picture dated 1913, shows Claude Redwine in auto in front of garage at 231 Castro St. In 1919, Redwine built a new garage at 256 Castro St. Mountain View, California.",PHA B18 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000093,Small's Garage and Machine Shop,,Unknown,"Small's Garage and Machine Shop, Castro Street. Mountain View, California.",PHA B18 9,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000094,Small's Garage,,Unknown,"Small's Garage. Mountain View, California.",PHA B18 8,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000095,Rogers & Rogers General Merchandise under construction,1903-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19 3,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000096,"Rogers and Rogers General Merchandise, 1905",1905-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000097,Rogers & Rogers General Merchandise,1905-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19 6,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000098,Rogers & Rogers General Merchandise after 1906 earthquake,1906-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19 8,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000099,Rogers & Rogers General Merchandise,1905-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19 12,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000100,Rogers & Rogers General Merchandise,1905-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19 15,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000101,Rogers & Rogers General Merchandise circa 1905,1907-01-01,Unknown,"Rogers & Rogers General Merchandise. Mountain View, California.",PHA B19,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000102,Mountain View Garden Gravel with Monte Vista Drive-in,1960-01-01,Unknown,"Mountain View Garden Gravel. Mountain View, California.",PHA B20 3,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000103,Mountain View Garden Gravel,1960-01-01,Unknown,"Mountain View Garden Gravel. Mountain View, California.",PHA B20 4,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000104,"Mountain View Garden Gravel, 1960",1960-01-01,Unknown,"Mountain View Garden Gravel. Mountain View, California.",PHA B20 2,Copyright status unknown.,City of Mountain View Public Library,1
cmv_000105,Swall's Butcher Shop,1906-01-01,Unknown,"Southeast corner Castro and Villa streets. Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000106,"Swall's Meat Market, 1906",1906-01-01,Unknown,"Lester Swall. Mountain View, California.",PHA B22 7,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000107,Swall's Meat Market interior,1906-01-01,Unknown,"2nd block Castro;Lester Swall Prop stands at right and Bull Mason left. Mountain View, California.",PHA B22,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000108,Swall's Meat Market staff on porch,1906-01-01,Unknown,"Lester Swall is shown in butcher apron, second from left. Mountain View, California.",PHA B22 4,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000109,"Swall's Meat Market, butcher blocks",1906-01-01,Unknown,"On right Lester Swall (son of George Swall). Mountain View, California.",,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000110,"Swall's Meat Market, 1906",1906-01-01,Unknown,"This picture shows three stores on street level, possibly B.E. Burn's Jewelry Store, Women's Wear (at one time Mrs. Marie McPheeters had her store here), and Swall Meat Market on right. Door at far right led to second story hall which was used for meetings, dances, etc. The butcher shop was formerly located just to the north of this building, but it was replaced by the Farmers and Merchants Bank.;Left: B.E. Burns, Henry Brunhofer, and Lester Swall. Built in 1905-1906. Mountain View, California.",PHA B22 8,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000111,"Swall's Meat Market, 1906",1906-01-01,Unknown,"Left: Bill Bason, George Swall (proprietor). Mountain View, California.",PHA B22 2,Public domain. No restrictions on use.,City of Mountain View Public Library,1
cmv_000112,Food City Market,,Unknown,"El Calmino and Castro. Mountain View, California.",PHA B23 5,Copyright status unknown.,City of Mountain View Public Library,1
